ID,CATALOG,IDENTIFICATION,COUNTRY,STATE,COUNTY,PRECISE_LOCALITY,LATITUDE,LONGITUDE,COLLECTOR(S),COLLECTING_DATE_FROM,Arrived_AMNH,SEX,AGE,PREPS,TRAP,DEPREDATION_METHOD,LID,CID,BID
30,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,
31,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,
32,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,
33,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,
34,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,
35,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,
36,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,
37,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,
38,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,
39,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,
40,JMZ,Sturnus vulgaris,USA,NY,Albany County,Albany Airport,,,Allen Gosser,,2015-02-05,,Adult,Whole Frozen,V-Top,Cervical Dislocation,,,
